origem;destino;veiculo;custo;fluxo;caminho
0;5;11;0.7244999999999999;34.0;{(0, 1): 0.27299999999999996, (1, 2): 0.22049999999999997, (2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21}
0;6;11;1.14975;51.0;{(0, 1): 0.27299999999999996, (1, 2): 0.22049999999999997, (2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 10): 0.0504, (8, 6): 0.17325000000000002}
0;7;11;0.8252999999999999;42.5;{(0, 1): 0.27299999999999996, (1, 2): 0.22049999999999997, (2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378}
0;8;11;0.9764999999999999;42.5;{(0, 1): 0.27299999999999996, (1, 2): 0.22049999999999997, (2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003}
0;9;11;0.7454999999999999;25.5;{(0, 1): 0.27299999999999996, (1, 2): 0.22049999999999997, (2, 9): 0.252}
0;10;11;0.7748999999999999;42.5;{(0, 1): 0.27299999999999996, (1, 2): 0.22049999999999997, (2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 10): 0.0504}
0;11;11;1.2285;42.5;{(0, 1): 0.27299999999999996, (1, 2): 0.22049999999999997, (2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 10): 0.0504, (8, 6): 0.17325000000000002, (8, 13): 0.03674999999999999, (9, 11): 0.504}
0;12;11;0.7875;34.0;{(0, 1): 0.27299999999999996, (1, 2): 0.22049999999999997, (2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 10): 0.0504, (8, 6): 0.17325000000000002, (8, 13): 0.03674999999999999, (9, 11): 0.504, (9, 12): 0.041999999999999996}
0;13;11;1.01325;51.0;{(0, 1): 0.27299999999999996, (1, 2): 0.22049999999999997, (2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 10): 0.0504, (8, 6): 0.17325000000000002, (8, 13): 0.03674999999999999}
0;14;11;0.9386999999999999;51.0;{(0, 1): 0.27299999999999996, (1, 2): 0.22049999999999997, (2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 10): 0.0504, (8, 6): 0.17325000000000002, (8, 13): 0.03674999999999999, (9, 11): 0.504, (9, 12): 0.041999999999999996, (10, 14): 0.1638}
0;15;11;0.9429;51.0;{(0, 1): 0.27299999999999996, (1, 2): 0.22049999999999997, (2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 10): 0.0504, (8, 6): 0.17325000000000002, (8, 13): 0.03674999999999999, (9, 11): 0.504, (9, 12): 0.041999999999999996, (10, 14): 0.1638, (10, 15): 0.168}
0;16;11;1.4846999999999997;59.5;{(0, 1): 0.27299999999999996, (1, 2): 0.22049999999999997, (2, 9): 0.252, (2, 3): 0.021, (3, 4): 0.27299999999999996, (3, 5): 0.21, (4, 7): 0.0378, (4, 8): 0.34650000000000003, (5, 8): 0.252, (5, 10): 0.0504, (8, 6): 0.17325000000000002, (8, 13): 0.03674999999999999, (9, 11): 0.504, (9, 12): 0.041999999999999996, (10, 14): 0.1638, (10, 15): 0.168, (12, 11): 0.44099999999999995, (13, 16): 0.84}
